Declare Date,Div date,Pay Date,Amount (Ksh)
12/05/2014,17/09/2014,15/12/2014,0.47
02/06/2015,04/09/2015,02/12/2015,0.64
26/07/2016,05/09/2016,01/12/2016,0.68
11/05/2016,05/09/2016,01/12/2016,0.78
10/05/2017,18/09/2017,01/12/2017,0.97
09/05/2018,03/09/2018,30/11/2018,1.1
03/05/2019,03/09/2019,30/11/2019,0.62
03/05/2019,03/09/2019,30/11/2019,1.25
29/04/2020,03/08/2020,31/08/2020,1.4
11/02/2021,08/03/2021,31/03/2021,0.45
13/05/2021,02/08/2021,31/08/2021,0.92
25/02/2022,18/03/2022,31/03/2022,0.64
12/05/2022,01/08/2022,31/08/2022,0.75
27/02/2023,16/03/2023,31/03/2023,0.58
11/05/2023,31/07/2023,31/08/2023,0.62
13/05/2013,12/09/2013,11/12/2013,0.31
10/05/2012,13/09/2012,11/12/2012,0.22
19/05/2011,08/09/2011,08/12/2011,0.2
25/05/2010,02/09/2010,02/12/2010,0.2
21/05/2009,19/08/2009,12/11/2009,0.1
